feature,mean_abs_shap
Contract,0.7774889
tenure,0.36383596
MonthlyCharges,0.22977354
OnlineSecurity,0.22944237
avg_monthly_spend,0.18774693
PaperlessBilling,0.15504524
TechSupport,0.15171488
support_count,0.110796005
TotalCharges,0.10672032
PaymentMethod,0.10308895
MultipleLines,0.08889643
charge_delta,0.0794358
InternetService,0.054233916
Dependents,0.05026167
OnlineBackup,0.045481123
is_mtm_contract,0.040410858
StreamingMovies,0.03888197
SeniorCitizen,0.033977788
streaming_count,0.018068243
gender,0.013782467
PhoneService,0.012162717
StreamingTV,0.008528343
DeviceProtection,0.0033346657
Partner,0.0
tenure_band,0.0
